,Date,Confirmed,Recovered,Deaths
9639,2020-01-22,0,0,0
9640,2020-01-23,0,0,0
9641,2020-01-24,0,0,0
9642,2020-01-25,3,0,0
9643,2020-01-26,4,0,0
9644,2020-01-27,4,0,0
9645,2020-01-28,4,0,0
9646,2020-01-29,7,0,0
9647,2020-01-30,8,0,0
9648,2020-01-31,8,0,0
9649,2020-02-01,8,0,0
9650,2020-02-02,8,0,0
9651,2020-02-03,8,0,0
9652,2020-02-04,10,0,0
9653,2020-02-05,12,0,0
9654,2020-02-06,12,0,0
9655,2020-02-07,12,1,0
9656,2020-02-08,16,1,0
9657,2020-02-09,16,1,0
9658,2020-02-10,18,1,0
9659,2020-02-11,18,3,0
9660,2020-02-12,18,3,0
9661,2020-02-13,19,3,0
9662,2020-02-14,19,3,0
9663,2020-02-15,22,7,0
9664,2020-02-16,22,7,0
9665,2020-02-17,22,7,0
9666,2020-02-18,22,13,0
9667,2020-02-19,22,15,0
9668,2020-02-20,22,15,0
9669,2020-02-21,22,15,0
9670,2020-02-22,22,15,0
9671,2020-02-23,22,15,0
9672,2020-02-24,22,18,0
9673,2020-02-25,22,18,0
9674,2020-02-26,22,18,0
9675,2020-02-27,23,18,0
9676,2020-02-28,23,18,0
9677,2020-02-29,25,18,0
9678,2020-03-01,29,18,0
9679,2020-03-02,29,18,0
9680,2020-03-03,36,22,0
9681,2020-03-04,50,22,0
9682,2020-03-05,50,22,0
9683,2020-03-06,83,22,0
9684,2020-03-07,93,23,0
9685,2020-03-08,99,24,0
9686,2020-03-09,117,24,0
9687,2020-03-10,129,24,0
9688,2020-03-11,149,26,0
9689,2020-03-12,149,26,0
9690,2020-03-13,197,26,0
9691,2020-03-14,238,35,0
9692,2020-03-15,428,42,0
9693,2020-03-16,566,42,0
9694,2020-03-17,673,49,2
9695,2020-03-18,790,60,2
9696,2020-03-19,900,75,2
9697,2020-03-20,1030,87,3
9698,2020-03-21,1183,114,4
9699,2020-03-22,1306,139,10
9700,2020-03-23,1518,139,14
9701,2020-03-24,1624,183,16
9702,2020-03-25,1796,199,19
9703,2020-03-26,2031,215,23
